Order_ID,Order_Date,Product,Category,Region,Quantity,Sales,Profit
ORD0001,2025-11-24,Smartphone,Electronics,South,1,26600.0,2660.0
ORD0002,2025-04-25,Headphones,Electronics,North,6,15000.0,2700.0
ORD0003,2025-10-30,Keyboard,Accessories,North,1,2200.0,374.0
ORD0004,2025-04-22,Office Chair,Furniture,South,5,35000.0,4900.0
ORD0005,2025-11-29,Keyboard,Accessories,East,2,3960.0,673.2
ORD0006,2025-01-04,Headphones,Electronics,East,6,13500.0,2430.0
ORD0007,2025-05-23,Headphones,Electronics,North,2,4750.0,855.0
ORD0008,2025-02-17,Keyboard,Accessories,East,1,2090.0,355.3
ORD0009,2025-11-06,Desk,Furniture,North,1,10800.0,1188.0
ORD0010,2025-07-13,Smartphone,Electronics,East,5,133000.0,13300.0
ORD0011,2025-10-23,Office Chair,Furniture,North,6,42000.0,5880.0
ORD0012,2025-12-05,Office Chair,Furniture,South,3,21000.0,2940.0
ORD0013,2025-02-21,Keyboard,Accessories,East,3,5940.0,1009.8
ORD0014,2025-03-25,Backpack,Accessories,East,3,5400.0,1080.0
ORD0015,2025-12-26,Smartphone,Electronics,South,5,140000.0,14000.0
ORD0016,2025-03-25,Monitor,Electronics,South,4,57000.0,7410.0
ORD0017,2025-12-17,Backpack,Accessories,North,1,1800.0,360.0
ORD0018,2025-06-11,Keyboard,Accessories,South,3,6600.0,1122.0
ORD0019,2025-10-18,Backpack,Accessories,West,2,3240.0,648.0
ORD0020,2025-11-26,Monitor,Electronics,South,2,28500.0,3705.0
ORD0021,2025-05-07,Desk,Furniture,West,6,64800.0,7128.0
ORD0022,2025-07-05,Office Chair,Furniture,North,2,12600.0,1764.0
ORD0023,2025-01-25,Smartphone,Electronics,West,2,56000.0,5600.0
ORD0024,2025-11-02,Smartphone,Electronics,West,4,100800.0,10080.0
ORD0025,2025-09-28,Desk,Furniture,North,5,60000.0,6600.0
ORD0026,2025-12-16,Desk,Furniture,North,6,68400.0,7524.0
ORD0027,2025-05-31,Keyboard,Accessories,North,2,3960.0,673.2
ORD0028,2025-05-15,Headphones,Electronics,East,5,12500.0,2250.0
ORD0029,2025-11-24,Office Chair,Furniture,South,2,13300.0,1862.0
ORD0030,2025-10-04,Laptop,Electronics,West,5,261250.0,31350.0
ORD0031,2025-01-10,Smartphone,Electronics,South,3,79800.0,7980.0
ORD0032,2025-01-30,Office Chair,Furniture,North,5,35000.0,4900.0
ORD0033,2025-09-06,Smartphone,Electronics,South,5,140000.0,14000.0
ORD0034,2025-12-04,Monitor,Electronics,East,5,75000.0,9750.0
ORD0035,2025-09-28,Keyboard,Accessories,East,2,4400.0,748.0
ORD0036,2025-07-24,Backpack,Accessories,North,4,6480.0,1296.0
ORD0037,2025-05-07,Office Chair,Furniture,North,1,6650.0,931.0
ORD0038,2025-10-29,Office Chair,Furniture,North,5,35000.0,4900.0
ORD0039,2025-02-06,Laptop,Electronics,North,2,110000.0,13200.0
ORD0040,2025-06-19,Smartphone,Electronics,East,5,140000.0,14000.0
ORD0041,2025-12-09,Monitor,Electronics,West,2,30000.0,3900.0
ORD0042,2025-05-05,Monitor,Electronics,North,4,60000.0,7800.0
ORD0043,2025-02-19,Keyboard,Accessories,West,3,5940.0,1009.8
